update,train_step,step,round,train/loss,train/step,train/lr-pg_1,train/lr-pg_0,train/grad_norm,train/ppo_kl,train/entropy_loss,train/pg_loss,train/train_rollout_logprob_abs_diff,train/global_batch_size,train/pg_clipfrac
14,15,7,0,8.938554674386978e-05,15,1e-06,1e-06,1.8086843117765876,0.0002471660263836384,0.18212303519248962,8.938554674386978e-05,0.010171739384531975,64,0.002472338732331991
15,16,8,0,-1.6298145055770874e-08,16,1e-06,1e-06,2.564909290843941,0,0.19825954735279083,-1.6298145055770874e-08,0.011085400357842445,64,0
16,17,8,0,-0.00010277703404426575,17,1e-06,1e-06,1.5894886716935155,0.0005067376187071204,0.19235742092132568,-0.00010277703404426575,0.010631348937749863,64,0.002468240913003683
17,18,9,0,-5.587935447692871e-09,18,1e-06,1e-06,2.0928136525315417,0,0.18229128420352936,-5.587935447692871e-09,0.010913250967860222,64,0
18,19,9,0,0.00021376041695475578,19,1e-06,1e-06,1.5483985872893415,0.00015007896581664681,0.16618984937667847,0.00021376041695475578,0.00989993754774332,64,0.0022167502902448177
19,20,10,0,7.450580596923828e-09,20,1e-06,1e-06,1.7827532264424573,0,0.17033249139785767,7.450580596923828e-09,0.009500138461589813,64,0
20,21,10,0,-0.007292289286851883,21,1e-06,1e-06,2.5544846013774123,0.00017803606169763952,0.17362499237060547,-0.007292289286851883,0.009826273657381535,64,0.002416501985862851
21,22,11,0,-1.862645149230957e-09,22,1e-06,1e-06,2.376647076929511,0,0.18104249238967896,-1.862645149230957e-09,0.01059776358306408,64,0
22,23,11,0,0.00028558261692523956,23,1e-06,1e-06,2.3628057332491283,0.0003082345938310027,0.1873510777950287,0.00028558261692523956,0.010438353754580021,64,0.0029210965149104595
23,24,12,0,-1.862645149230957e-09,24,1e-06,1e-06,6.063177326551887,0,0.16372162103652954,-1.862645149230957e-09,0.00999264232814312,64,0
24,25,12,0,0.00016181915998458862,25,1e-06,1e-06,1.8450303239062016,0.00031598383793607354,0.1784619688987732,0.00016181915998458862,0.010152394883334637,64,0.002379489364102483
25,26,13,0,-7.450580596923828e-09,26,1e-06,1e-06,2.0305415165049556,0,0.17299027740955353,-7.450580596923828e-09,0.010025481693446636,64,0
26,27,13,0,0.0002325214445590973,27,1e-06,1e-06,1.1896283000368373,0.0002036926307482645,0.18496987223625183,0.0002325214445590973,0.010585332289338112,64,0.0012768437154591084
27,28,14,0,4.0978193283081055e-08,28,1e-06,1e-06,2.4332674888516155,0,0.17240190505981445,4.0978193283081055e-08,0.00964379496872425,64,0
28,29,14,0,0.002470601350069046,29,1e-06,1e-06,9.967743921483805,0.00025858383742161095,0.1668476164340973,0.002470601350069046,0.009788467548787594,64,0.0023342594504356384
29,30,15,0,-2.9802322387695312e-08,30,1e-06,1e-06,2.344242807076838,0,0.17494012415409088,-2.9802322387695312e-08,0.009843398816883564,64,0
30,31,15,0,0.0005398709326982498,31,1e-06,1e-06,2.334417965249735,0.0005076018278487027,0.1813342273235321,0.0005398709326982498,0.01051272451877594,64,0.0035054918844252825
31,32,16,0,-1.1175870895385742e-08,32,1e-06,1e-06,1.9496555488757712,0,0.17412276566028595,-1.1175870895385742e-08,0.009888405911624432,64,0
32,33,16,0,-6.795302033424377e-05,33,1e-06,1e-06,1.7402996560470627,0.00014324506628327072,0.17809121310710907,-6.795302033424377e-05,0.010547874495387077,64,0.0013971212320029736
33,34,17,0,9.313225746154785e-09,34,1e-06,1e-06,1.9654226493083946,0,0.17317134141921997,9.313225746154785e-09,0.009906629100441933,64,0
34,35,17,0,0.00019548926502466202,35,1e-06,1e-06,1.7859485962957724,0.00030705248354934156,0.159990131855011,0.00019548926502466202,0.00950855016708374,64,0.0029927515424788
35,36,18,0,8.381903171539307e-09,36,1e-06,1e-06,1.7434617928950757,0,0.18171241879463196,8.381903171539307e-09,0.010481154546141624,64,0
36,37,18,0,0.00592871755361557,37,1e-06,1e-06,1.7184746261556982,0.002759676892310381,0.17726729810237885,0.00592871755361557,0.010782839730381966,64,0.0024944066535681486
37,38,19,0,-1.0244548320770264e-08,38,1e-06,1e-06,1.8428289408125855,0,0.1600552797317505,-1.0244548320770264e-08,0.009782875888049603,64,0
38,39,19,0,0.00021580979228019714,39,1e-06,1e-06,1.611587632985406,0.0031463007908314466,0.15717901289463043,0.00021580979228019714,0.010231465101242065,64,0.0018037890549749136
39,40,20,0,3.725290298461914e-09,40,1e-06,1e-06,1.6475869104039988,0,0.1692807376384735,3.725290298461914e-09,0.01032445952296257,64,0
40,41,20,0,0.0002836789935827255,41,1e-06,1e-06,1.67925998658764,0.0017486463766545057,0.14106778800487518,0.0002836789935827255,0.008858976885676384,64,0.0035239316057413816
41,42,21,1,-8.381903171539307e-09,42,1e-06,1e-06,1.6840553447481483,0,0.16218498349189758,-8.381903171539307e-09,0.011935489252209663,64,0
42,43,21,1,0.00038815662264823914,43,1e-06,1e-06,1.2021021272368047,0.002770230872556567,0.15296417474746704,0.00038815662264823914,0.009625840932130814,64,0.001988448202610016
43,44,22,1,1.30385160446167e-08,44,1e-06,1e-06,1.715868736977637,0,0.1706748604774475,1.30385160446167e-08,0.010732773691415787,64,0
44,45,22,1,0.00032370537519454956,45,1e-06,1e-06,1.9525988671234356,0.00018472809460945427,0.1560744047164917,0.00032370537519454956,0.00996735505759716,64,0.0027661737985908985
45,46,23,1,-5.005858838558197e-09,46,1e-06,1e-06,1.1977533090856645,0,0.15600386261940002,-5.005858838558197e-09,0.009817853569984436,64,0
46,47,23,1,-2.0300038158893585e-05,47,1e-06,1e-06,1.0532868869315453,0.00022421246103476733,0.1697261929512024,-2.0300038158893585e-05,0.010854661464691162,64,0.0018897249829024076
47,48,24,1,0,48,1e-06,1e-06,1.251876185964631,0,0.16108012199401855,0,0.00992291234433651,64,0
48,49,24,1,9.949458763003349e-05,49,1e-06,1e-06,0.47349816994278154,0.0003799013211391866,0.15916021168231964,9.949458763003349e-05,0.010176289826631546,64,0.0003204172826372087
49,50,25,1,5.587935447692871e-09,50,1e-06,1e-06,1.7169671956051757,0,0.1727149486541748,5.587935447692871e-09,0.01080232672393322,64,0
50,51,25,1,-2.4139881134033203e-05,51,1e-06,1e-06,0.9100808042764664,0.00030173882259987295,0.16281768679618835,-2.4139881134033203e-05,0.010087152943015099,64,0.0009770516771823168
51,52,26,1,1.257285475730896e-08,52,1e-06,1e-06,1.8081565641620918,0,0.16533520817756653,1.257285475730896e-08,0.010184688493609428,64,0
52,53,26,1,8.599832653999329e-06,53,1e-06,1e-06,0.570711309960463,0.000387724518077448,0.15339478850364685,8.599832653999329e-06,0.009580806829035282,64,0.0006403544684872031
53,54,27,1,-5.820766091346741e-09,54,1e-06,1e-06,1.2839372413277348,0,0.15973100066184998,-5.820766091346741e-09,0.009798221290111542,64,0
54,55,27,1,-4.231929779052734e-06,55,1e-06,1e-06,0.6695074907358148,5.5183161748573184e-05,0.15371569991111755,-4.231929779052734e-06,0.009458121843636036,64,0.00034870341187343
55,56,28,1,-1.862645149230957e-09,56,1e-06,1e-06,1.483742107187182,0,0.15887144207954407,-1.862645149230957e-09,0.01028585247695446,64,0
56,57,28,1,3.2852403819561005e-05,57,1e-06,1e-06,0.8537527492585046,0.00046279013622552156,0.1527433693408966,3.2852403819561005e-05,0.009395649656653404,64,0.0007924609817564487
57,58,29,1,1.862645149230957e-09,58,1e-06,1e-06,1.325473157503696,0,0.1478612720966339,1.862645149230957e-09,0.009084174409508705,64,0
58,59,29,1,0.00017364230006933212,59,1e-06,1e-06,1.356200534604092,0.0003141792258247733,0.15462064743041992,0.00017364230006933212,0.009799918159842491,64,0.00210346607491374
59,60,30,1,-3.725290298461914e-09,60,1e-06,1e-06,1.5821014765470276,0,0.15810513496398926,-3.725290298461914e-09,0.009737120009958744,64,0
60,61,30,1,-2.813618630170822e-05,61,1e-06,1e-06,0.9565754953552851,2.7984229745925404e-05,0.156838059425354,-2.813618630170822e-05,0.009924452751874924,64,0.0009989954996854067
61,62,31,1,0.00372528238222003,62,1e-06,1e-06,1.5266188830736716,0,0.1595216989517212,0.00372528238222003,0.009923111647367477,64,0
62,63,31,1,3.683124668896198e-05,63,1e-06,1e-06,0.8984841044404511,0.00027583728660829365,0.1667342334985733,3.683124668896198e-05,0.012374823912978172,64,0.0009348350577056408
63,64,32,1,3.725290298461914e-09,64,1e-06,1e-06,1.4281768321975674,0,0.1641625612974167,3.725290298461914e-09,0.013035958632826805,64,0
64,65,32,1,0.0012595783919095993,65,1e-06,1e-06,34.751953070115356,0.00040190567960962653,0.1540728211402893,0.0012595783919095993,0.009742623195052147,64,0.001864582416601479
65,66,33,1,-2.9802322387695312e-08,66,1e-06,1e-06,2.188162131235536,0,0.15846246480941772,-2.9802322387695312e-08,0.010145463980734348,64,0
66,67,33,1,0,67,1e-06,1e-06,0,0.00012601655907928944,0.15190064907073975,0,0.009777434170246124,64,0
67,68,34,1,-1.0244548320770264e-08,68,1e-06,1e-06,2.3435306700760106,0,0.15989571809768677,-1.0244548320770264e-08,0.010371606796979904,64,0
68,69,34,1,0.00022800453007221222,69,1e-06,1e-06,1.271616329723406,0.0004542998212855309,0.15792518854141235,0.00022800453007221222,0.01007484644651413,64,0.0018069121288135648
69,70,35,1,-3.725290298461914e-09,70,1e-06,1e-06,0.9988618572746748,0,0.1589382141828537,-3.725290298461914e-09,0.013455796986818314,64,0
70,71,35,1,0,71,1e-06,1e-06,0,0.0003508271765895188,0.1442345231771469,0,0.009676113724708557,64,0
71,72,36,1,9.313225746154785e-10,72,1e-06,1e-06,1.9591702708680774,0,0.14735782146453857,9.313225746154785e-10,0.009471289813518524,64,0
72,73,36,1,6.882846355438232e-05,73,1e-06,1e-06,0.9692804361011529,0.0005782937514595687,0.15042048692703247,6.882846355438232e-05,0.009897678159177303,64,0.0009221415966749191
73,74,37,1,7.450580596923828e-09,74,1e-06,1e-06,1.8738292217748445,0,0.1514473557472229,7.450580596923828e-09,0.00996912270784378,64,0
74,75,37,1,0.00016058865003287792,75,1e-06,1e-06,1.3375324744444457,0.000544604379683733,0.13913556933403015,0.00016058865003287792,0.00915023684501648,64,0.0014288641978055239
75,76,38,1,7.450580596923828e-09,76,1e-06,1e-06,1.8151598520005943,0,0.13851341605186462,7.450580596923828e-09,0.00943971611559391,64,0
76,77,38,1,9.970460087060928e-05,77,1e-06,1e-06,1.0007484734414223,0.000400154065573588,0.14073032140731812,9.970460087060928e-05,0.009424859657883644,64,0.0008978781988844275
77,78,39,1,4.656612873077393e-10,78,1e-06,1e-06,1.9615244196048274,0,0.15040069818496704,4.656612873077393e-10,0.009689480997622013,64,0
78,79,39,1,1.5147961676120758e-05,79,1e-06,1e-06,1.3564241763308957,0.00039111936348490417,0.1435682773590088,1.5147961676120758e-05,0.009408755227923393,64,0.0009682580130174756
79,80,40,1,4.6566128730773926e-09,80,1e-06,1e-06,2.2812284703741117,0,0.15416330099105835,4.6566128730773926e-09,0.010082634165883064,64,0
80,81,40,1,0.00022472860291600227,81,1e-06,1e-06,1.3827675849818502,0.0003853029338642955,0.14645734429359436,0.00022472860291600227,0.009739434346556664,64,0.0015823774738237262
81,82,41,2,-4.6566128730773926e-09,82,1e-06,1e-06,0.9545119153773252,0,0.1420472264289856,-4.6566128730773926e-09,0.009363018907606602,64,0
82,83,41,2,0,83,1e-06,1e-06,0,0.0002801147638820112,0.1343296766281128,0,0.009174344129860401,64,0
83,84,42,2,-3.725290298461914e-09,84,1e-06,1e-06,1.8452364215462356,0,0.14060211181640625,-3.725290298461914e-09,0.009416918270289898,64,0
84,85,42,2,3.967806696891785e-05,85,1e-06,1e-06,1.4052521874343413,0.00034345683525316417,0.15545807778835297,3.967806696891785e-05,0.010635960847139359,64,0.001104747410863638
85,86,43,2,7.450580596923828e-09,86,1e-06,1e-06,2.2951789874256145,0,0.16141995787620544,7.450580596923828e-09,0.010272745043039322,64,0
86,87,43,2,-4.015583544969559e-05,87,1e-06,1e-06,0.5739901080973864,0.0005683143390342593,0.13957615196704865,-4.015583544969559e-05,0.009096197783946991,64,0.00030625949148088694
87,88,44,2,-1.1175870895385742e-08,88,1e-06,1e-06,2.3105236577909496,0,0.13878808915615082,-1.1175870895385742e-08,0.008936624974012375,64,0
88,89,44,2,0.000302804633975029,89,1e-06,1e-06,1.6274121794320933,0.000323978514643386,0.14806781709194183,0.000302804633975029,0.009694831445813179,64,0.002163644414395094
89,90,45,2,-3.259629011154175e-09,90,1e-06,1e-06,1.0082515972417074,0,0.1438772976398468,-3.259629011154175e-09,0.009695598855614662,64,0
90,91,45,2,1.4457851648330688e-05,91,1e-06,1e-06,1.1726559897567999,0.00038578722160309553,0.14074566960334778,1.4457851648330688e-05,0.009436285123229027,64,0.0009495363337919116
91,92,46,2,-1.1175870895385742e-08,92,1e-06,1e-06,2.0341194425938416,0,0.1496860533952713,-1.1175870895385742e-08,0.009723098017275333,64,0
92,93,46,2,0.0001459866762161255,93,1e-06,1e-06,1.2606366125885438,0.0004037920734845102,0.14039379358291626,0.0001459866762161255,0.009305693209171295,64,0.0013925423845648766
93,94,47,2,-1.862645149230957e-09,94,1e-06,1e-06,1.10267123434473,0,0.12792342901229858,-1.862645149230957e-09,0.0085282102227211,64,0
94,95,47,2,-2.446852158755064e-05,95,1e-06,1e-06,1.4592724455714405,0.0004764458572026342,0.12974795699119568,-2.446852158755064e-05,0.008798349648714066,64,0.001693214988335967
95,96,48,2,-1.862645149230957e-09,96,1e-06,1e-06,1.3441862684469408,0,0.13435259461402893,-1.862645149230957e-09,0.009383061900734901,64,0
96,97,48,2,2.9958784580230713e-05,97,1e-06,1e-06,0.3897736427092652,0.00035154185025021434,0.1161457896232605,2.9958784580230713e-05,0.008169058710336685,64,0.00033791078021749854
97,98,49,2,1.257285475730896e-08,98,1e-06,1e-06,1.7734227116846248,0,0.15110641717910767,1.257285475730896e-08,0.010233457200229168,64,0
98,99,49,2,-1.5748664736747742e-05,99,1e-06,1e-06,1.150510720167817,0.0006387561443261802,0.13549818098545074,-1.5748664736747742e-05,0.009449069388210773,64,0.001225376152433455
99,100,50,2,1.862645149230957e-09,100,1e-06,1e-06,1.586258728869074,0,0.1394108235836029,1.862645149230957e-09,0.009453503414988518,64,0
100,101,50,2,0.00010285712778568268,101,1e-06,1e-06,1.193201032706775,0.0007538844365626574,0.1322135329246521,0.00010285712778568268,0.00906842015683651,64,0.0014002092648297548
101,102,51,2,2.9802322387695312e-08,102,1e-06,1e-06,2.246766946499691,0,0.15001383423805237,2.9802322387695312e-08,0.00996833574026823,64,0
102,103,51,2,0.00020160526037216187,103,1e-06,1e-06,1.3977672739641682,0.000548151379916817,0.14099201560020447,0.00020160526037216187,0.009333351626992226,64,0.001199601567350328
103,104,52,2,-9.313225746154785e-10,104,1e-06,1e-06,1.9981960267063439,0,0.15717121958732605,-9.313225746154785e-10,0.010662063956260681,64,0
104,105,52,2,0.0001249229535460472,105,1e-06,1e-06,1.1789255776410452,0.00038372172275558114,0.13600820302963257,0.0001249229535460472,0.009416293352842331,64,0.0015737435314804316
105,106,53,2,-2.3515895009040833e-08,106,1e-06,1e-06,1.8122238080287856,0,0.14320477843284607,-2.3515895009040833e-08,0.009616785682737827,64,0
106,107,53,2,3.298278898000717e-05,107,1e-06,1e-06,1.0328399654551197,0.00024357107758987695,0.13968688249588013,3.298278898000717e-05,0.00936039537191391,64,0.0017974497750401497
107,108,54,2,-1.1175870895385742e-08,108,1e-06,1e-06,1.2870157349579758,0,0.13606682419776917,-1.1175870895385742e-08,0.009089348837733269,64,0
108,109,54,2,5.30024990439415e-05,109,1e-06,1e-06,1.4309936560404206,0.0006886614137329161,0.14760294556617737,5.30024990439415e-05,0.009706439450383186,64,0.0017398088239133358
109,110,55,2,3.4924596548080444e-09,110,1e-06,1e-06,1.9106117126781477,0,0.15704482793807983,3.4924596548080444e-09,0.010422482155263424,64,0
110,111,55,2,0.00011843256652355194,111,1e-06,1e-06,1.0435272892891738,0.0006957148434594274,0.14779405295848846,0.00011843256652355194,0.010013869032263756,64,0.001503069419413805
111,112,56,2,-1.4901161193847656e-08,112,1e-06,1e-06,1.991318337320916,0,0.1568630188703537,-1.4901161193847656e-08,0.010424002073705196,64,0
112,113,56,2,0.00021776370704174042,113,1e-06,1e-06,1.1055869858127616,0.0006329850293695927,0.14421141147613525,0.00021776370704174042,0.0103213582187891,64,0.001495294738560915
113,114,57,2,-6.984919309616089e-09,114,1e-06,1e-06,2.235412250193286,0,0.14144402742385864,-6.984919309616089e-09,0.010112539865076542,64,0
114,115,57,2,8.277129381895065e-05,115,1e-06,1e-06,0.8659413637524532,-0.00017540244152769446,0.131917804479599,8.277129381895065e-05,0.008939344435930252,64,0.0005205056513659656
115,116,58,2,4.656612873077393e-10,116,1e-06,1e-06,1.5108034186847963,0,0.1467668116092682,4.656612873077393e-10,0.009727527387440205,64,0
116,117,58,2,0,117,1e-06,1e-06,0,0.0007979543297551572,0.13662493228912354,0,0.00931202806532383,64,0
117,118,59,2,-2.2351741790771484e-08,118,1e-06,1e-06,1.8887979806578206,0,0.15033021569252014,-2.2351741790771484e-08,0.010144997388124466,64,0
118,119,59,2,9.795278310775757e-05,119,1e-06,1e-06,0.769790102415513,0.0006353874923661351,0.13269385695457458,9.795278310775757e-05,0.009075315669178963,64,0.000525830895639956
119,120,60,2,0,120,1e-06,1e-06,1.6838718547495748,0,0.1488930881023407,0,0.009895390830934048,64,0
120,121,60,2,7.421150803565979e-05,121,1e-06,1e-06,1.4237628183968412,0.001362798037007451,0.1380816549062729,7.421150803565979e-05,0.00970856286585331,64,0.0016094893217086792
121,122,61,3,-1.5366822481155396e-08,122,1e-06,1e-06,1.792100683768507,0,0.15038911998271942,-1.5366822481155396e-08,0.010026521049439907,64,0
122,123,61,3,0.00015748292207717896,123,1e-06,1e-06,1.0964511215337127,0.000649123452603817,0.13768750429153442,0.00015748292207717896,0.009480763226747513,64,0.0013249566545709968
123,124,62,3,2.421438694000244e-08,124,1e-06,1e-06,2.257958430553779,0,0.15034103393554688,2.421438694000244e-08,0.009846264496445656,64,0
124,125,62,3,5.193520337343216e-05,125,1e-06,1e-06,0.5532536308593479,0.0005424279370345175,0.1497671902179718,5.193520337343216e-05,0.010158082470297813,64,0.0005546469474211335
125,126,63,3,-1.30385160446167e-08,126,1e-06,1e-06,1.4176305782718628,0,0.14821311831474304,-1.30385160446167e-08,0.009725617244839668,64,0
126,127,63,3,2.8546899557113647e-05,127,1e-06,1e-06,0.6964049597290219,0.00038713778485544026,0.14270013570785522,2.8546899557113647e-05,0.00965704582631588,64,0.000596756290178746
127,128,64,3,0,128,1e-06,1e-06,1.9791092579864324,0,0.1499735563993454,0,0.01005636714398861,64,0
128,129,64,3,0.00025458214804530144,129,1e-06,1e-06,1.2332096151640914,0.0007333094836212695,0.1572485864162445,0.00025458214804530144,0.010701329447329044,64,0.001916407374665141
129,130,65,3,3.725290298461914e-09,130,1e-06,1e-06,1.562312916045964,0,0.1429470181465149,3.725290298461914e-09,0.009518608450889587,64,0
130,131,65,3,0.0001369924284517765,131,1e-06,1e-06,0.8169076283482922,0.0002958755649160594,0.13928523659706116,0.0001369924284517765,0.009409336373209953,64,0.0005864978302270174
131,132,66,3,-5.122274160385132e-09,132,1e-06,1e-06,1.4979675351535164,0,0.1364341676235199,-5.122274160385132e-09,0.010131368413567543,64,0
132,133,66,3,3.29331960529089e-05,133,1e-06,1e-06,0.6685790235551751,0.0007741419831290841,0.13413818180561066,3.29331960529089e-05,0.00916551798582077,64,0.00046918937005102634
133,134,67,3,-3.026798367500305e-09,134,1e-06,1e-06,1.983305996084009,0,0.14482316374778748,-3.026798367500305e-09,0.00982305221259594,64,0
134,135,67,3,1.816079020500183e-05,135,1e-06,1e-06,0.8128108017026295,0.000810854253359139,0.13155588507652283,1.816079020500183e-05,0.008972076699137688,64,0.0008740989724174142
135,136,68,3,-7.450580596923828e-09,136,1e-06,1e-06,1.9122035127091819,0,0.13991940021514893,-7.450580596923828e-09,0.011473983526229858,64,0
136,137,68,3,0.00019841361790895462,137,1e-06,1e-06,1.3525575271613037,0.0005167818162590265,0.12534072995185852,0.00019841361790895462,0.008942208252847195,64,0.001352666295133531
137,138,69,3,2.491287887096405e-08,138,1e-06,1e-06,2.0755504062002395,0,0.1432851254940033,2.491287887096405e-08,0.01011388748884201,64,0
138,139,69,3,5.577458068728447e-06,139,1e-06,1e-06,0.4520008019149047,0.0004176949441898614,0.13757944107055664,5.577458068728447e-06,0.009775247424840927,64,0.0004935048636980355
139,140,70,3,-3.725290298461914e-09,140,1e-06,1e-06,1.170672142680387,0,0.14845095574855804,-3.725290298461914e-09,0.010181635618209839,64,0
140,141,70,3,0,141,1e-06,1e-06,0,0.000178114278241992,0.12329675257205963,0,0.00876616407185793,64,0
141,142,71,3,6.51925802230835e-09,142,1e-06,1e-06,1.732775388686583,0,0.1389560103416443,6.51925802230835e-09,0.01081663928925991,64,0
142,143,71,3,0,143,1e-06,1e-06,0,0.00030042510479688644,0.12283757328987122,0,0.00910862348973751,64,0
143,144,72,3,9.313225746154785e-09,144,1e-06,1e-06,1.5093087791938196,0,0.13991384208202362,9.313225746154785e-09,0.00972087774425745,64,0
144,145,72,3,0.0002323593944311142,145,1e-06,1e-06,1.1872878638065658,0.0003147454699501395,0.13151919841766357,0.0002323593944311142,0.009705128148198128,64,0.0016039598267525434
145,146,73,3,-3.725290298461914e-09,146,1e-06,1e-06,0.8492595785621025,0,0.12592913210391998,-3.725290298461914e-09,0.010271193459630013,64,0
146,147,73,3,0.00018411222845315933,147,1e-06,1e-06,0.8151503032915643,0.00012038215936627239,0.12292076647281647,0.00018411222845315933,0.009928662329912186,64,0.0010928893461823463
147,148,74,3,0,148,1e-06,1e-06,1.3390402205582341,0,0.11814321577548981,0,0.008833261206746101,64,0
148,149,74,3,0.0001436220481991768,149,1e-06,1e-06,0.9220058219026634,0.0006472551613114774,0.12434238195419312,0.0001436220481991768,0.00934553425759077,64,0.0006558028981089592
149,150,75,3,-8.09086486697197e-09,150,1e-06,1e-06,1.7048029202304211,0,0.1277005672454834,-8.09086486697197e-09,0.009505984373390675,64,0
150,151,75,3,1.6796402633190155e-05,151,1e-06,1e-06,0.3855506711268579,0.00016251765191555023,0.12153136730194092,1.6796402633190155e-05,0.01118997111916542,64,0.0005575763061642647
151,152,76,3,1.1175870895385742e-08,152,1e-06,1e-06,1.2643718873691383,0,0.1287226676940918,1.1175870895385742e-08,0.010701381601393223,64,0
152,153,76,3,8.311308920383453e-05,153,1e-06,1e-06,1.4900152562787676,0.00035600888077169657,0.12307418882846832,8.311308920383453e-05,0.009866556152701378,64,0.002179433824494481
153,154,77,3,1.3969838619232178e-09,154,1e-06,1e-06,0.9846425071419983,0,0.12629345059394836,1.3969838619232178e-09,0.00971332285553217,64,0
154,155,77,3,8.367933332920074e-07,155,1e-06,1e-06,0.5057180494454364,0.0003449422656558454,0.12692856788635254,8.367933332920074e-07,0.009581619873642921,64,0.000424699392169714
155,156,78,3,3.725290298461914e-09,156,1e-06,1e-06,1.0715840158780492,0,0.1343487650156021,3.725290298461914e-09,0.010201576165854931,64,0
156,157,78,3,0,157,1e-06,1e-06,0,0.0011715663131326437,0.11357033252716064,0,0.008760424330830574,64,0
157,158,79,3,-3.725290298461914e-09,158,1e-06,1e-06,1.22649776992564,0,0.1099126785993576,-3.725290298461914e-09,0.00851275585591793,64,0
158,159,79,3,0.00012427940964698792,159,1e-06,1e-06,1.0099157815700563,0.0007755023543722928,0.10083141922950745,0.00012427940964698792,0.008230337873101234,64,0.0005200457526370883
159,160,80,3,3.725290298461914e-09,160,1e-06,1e-06,2.172035485794441,0,0.11607421934604645,3.725290298461914e-09,0.009343361482024193,64,0
160,161,80,3,0,161,1e-06,1e-06,0,0.0008921445114538074,0.11616188287734985,0,0.009525912813842297,64,0
